year,country_code,metric_code,mean,sd,lobound_10,upbound_90
2017,AGO,disap,5.9070373,.97660267,4.6569858,7.1570888
2018,AGO,disap,6.6334343,.51152396,5.9786835,7.2881851
2019,AGO,disap,5.7209539,.67874181,4.8521643,6.5897436
2020,AGO,disap,4.9814649,1.2098225,3.4328921,6.5300379
2018,ASM,disap,7.3642292,.89373183,6.2202525,8.5082064
2019,ASM,disap,7.4421983,.55700982,6.7292256,8.1551704
2017,AUS,disap,7.9507103,.20583507,7.6872416,8.214179
2018,AUS,disap,8.0149803,.17759514,7.7876587,8.2423019
2019,AUS,disap,8.2394972,.26484975,7.9004893,8.5785046
2020,AUS,disap,8.3853731,.3336902,7.9582496,8.8124962
2017,BRA,disap,4.947978,.50511765,4.3014274,5.5945287
2018,BRA,disap,4.7719584,.31372157,4.3703947,5.173522
2019,BRA,disap,4.5022774,.41405874,3.9722822,5.0322723
2020,BRA,disap,4.3474126,.74752772,3.3905771,5.3042479
2017,COD,disap,4.8302412,.94316751,3.6229868,6.0374956
2018,COD,disap,4.1317892,.59618312,3.3686748,4.8949037
2019,COD,disap,5.2572641,.51687717,4.5956612,5.9188671
2020,COD,disap,5.819438,.50152278,5.1774888,6.4613872
2018,COK,disap,8.0863552,.59505284,7.3246875,8.8480225
2019,COK,disap,8.4227219,.36755061,7.9522572,8.8931866
2020,COK,disap,8.5870314,.50634438,7.9389105,9.2351522
2017,FJI,disap,7.8689713,.30405408,7.4797821,8.2581606
2018,FJI,disap,8.1324663,.239168,7.8263311,8.4386015
2019,FJI,disap,8.4165602,.33460927,7.9882603,8.8448601
2020,FJI,disap,8.2465115,.48059019,7.6313562,8.8616667
2019,FSM,disap,9.7513494,1.3510653,8.021986,11.480713
2020,FSM,disap,9.7458305,1.8278184,7.4062228,12.085438
2017,GBR,disap,7.5908442,.23351778,7.2919412,7.8897471
2018,GBR,disap,7.7217093,.20665722,7.4571881,7.9862304
2019,GBR,disap,8.3478575,.34480137,7.9065118,8.7892036
2020,GBR,disap,8.2526016,.6842044,7.3768201,9.1283836
2018,GUM,disap,8.9264078,.59915209,8.1594934,9.6933222
2019,GUM,disap,8.6743526,.47430751,8.0672388,9.2814665
2020,GUM,disap,7.5934653,.80767012,6.5596476,8.6272831
2019,HKG,disap,7.4362116,.53699511,6.748858,8.1235657
2020,HKG,disap,7.8772793,.63406217,7.0656796,8.688879
2017,JOR,disap,7.3423114,.57649928,6.6043925,8.0802307
2018,JOR,disap,7.1266513,.39195833,6.6249447,7.6283579
2019,JOR,disap,6.2003064,.55755687,5.4866338,6.9139791
2020,JOR,disap,6.4856291,1.0142407,5.1874008,7.7838573
2017,KAZ,disap,6.8577118,.31027025,6.460566,7.2548575
2018,KAZ,disap,6.7505302,.23461425,6.4502239,7.0508366
2019,KAZ,disap,6.0060458,.43228653,5.4527192,6.5593724
2020,KAZ,disap,5.8988147,.54046398,5.2070208,6.5906086
2017,KGZ,disap,7.4571872,.40439379,6.9395633,7.9748111
2018,KGZ,disap,7.5895772,.37771887,7.1060972,8.0730572
2019,KGZ,disap,8.1135683,.52106524,7.4466047,8.7805319
2020,KGZ,disap,7.5941739,.73683536,6.6510248,8.537323
2019,KIR,disap,8.5259342,.70991284,7.6172457,9.4346228
2020,KIR,disap,8.4825163,.92831117,7.2942781,9.6707544
2017,KOR,disap,7.7585368,.51427358,7.1002665,8.4168072
2018,KOR,disap,8.1431828,.43382195,7.5878906,8.6984749
2019,KOR,disap,9.2236853,.50535232,8.5768347,9.8705359
2020,KOR,disap,9.1981831,.7347694,8.257678,10.138688
2017,LBR,disap,6.6495175,.57067269,5.9190564,7.3799787
2018,LBR,disap,7.6266384,.34271446,7.187964,8.0653133
2019,LBR,disap,6.6157646,.66115999,5.7694798,7.4620495
2020,LBR,disap,5.1726255,1.5330209,3.2103589,7.1348925
2017,MEX,disap,2.2014308,.62957603,1.3955735,3.0072882
2018,MEX,disap,1.8260051,.46122009,1.2356434,2.4163668
2019,MEX,disap,2.050606,.53636241,1.3640621,2.73715
2020,MEX,disap,1.6920432,.61391181,.90623605,2.4778502
2018,MHL,disap,7.0992208,1.5850761,5.0703235,9.1281185
2019,MHL,disap,6.8111258,.89382344,5.6670318,7.9552197
2020,MHL,disap,5.7319641,1.1389625,4.2740922,7.189836
2017,MOZ,disap,4.5925102,.62643981,3.7906673,5.3943534
2018,MOZ,disap,4.583621,.50776225,3.9336853,5.2335567
2019,MOZ,disap,4.5892448,.49632311,3.9539514,5.2245383
2020,MOZ,disap,4.7612557,.79587424,3.7425368,5.7799749
2019,MYS,disap,7.3654637,.41696784,6.8317447,7.8991828
2020,MYS,disap,7.7161489,.44537258,7.1460719,8.2862253
2018,NCL,disap,9.4648523,.63591713,8.650878,10.278827
2019,NCL,disap,8.7530794,.35217667,8.3022928,9.203866
2020,NCL,disap,8.5236216,.33999765,8.0884247,8.9588184
2018,NIU,disap,9.0476294,.78099674,8.0479536,10.047305
2019,NIU,disap,9.0204067,.52696073,8.3458967,9.6949167
2020,NIU,disap,8.7588682,.79117268,7.7461672,9.7715693
2018,MNP,disap,7.2736621,1.2109878,5.7235975,8.8237267
2019,MNP,disap,7.2281108,1.1022545,5.817225,8.6389961
2020,MNP,disap,6.8608437,1.5455588,4.8825283,8.839159
2017,NPL,disap,8.2185135,.62300861,7.4210625,9.0159645
2018,NPL,disap,8.3557959,.3773438,7.8727956,8.8387957
2019,NPL,disap,7.7435851,.29696417,7.363471,8.1236992
2020,NPL,disap,7.353219,.37901655,6.8680778,7.8383603
2018,NRU,disap,7.8724475,.6206091,7.0780678,8.6668272
2019,NRU,disap,8.2592907,.43406537,7.7036872,8.8148947
2020,NRU,disap,8.5588217,.75458777,7.5929494,9.5246944
2017,NZL,disap,8.0599213,.19695944,7.8078132,8.3120289
2018,NZL,disap,8.2877808,.16499838,8.0765829,8.4989786
2019,NZL,disap,8.7054024,.24267447,8.3947792,9.0160255
2020,NZL,disap,8.6578436,.42869592,8.1091127,9.2065744
2018,PNG,disap,6.1399884,1.0245185,4.8286047,7.4513721
2019,PNG,disap,6.1487665,.56849563,5.421092,6.876441
2020,PNG,disap,6.3746805,.6170575,5.584847,7.1645141
2019,PYF,disap,9.5171909,.8198545,8.4677773,10.566605
2020,PYF,disap,9.6669836,1.0055485,8.3798819,10.954085
2017,SAU,disap,3.1855366,1.0108755,1.891616,4.4794574
2018,SAU,disap,3.3695285,.86431676,2.2632031,4.4758539
2019,SAU,disap,3.2887363,.79774398,2.2676241,4.3098488
2020,SAU,disap,3.1908257,.699022,2.2960775,4.0855737
2018,SLB,disap,8.7102098,1.5699368,6.7006907,10.719728
