country_code,metric_code,group,year,value,immediate_duty,immediate_duty_penalty,score_wrt_immediate_duty,global_best_penalty,score_wrt_global_best,immediate_duty_wrt_global_best,source_code
ABW,AdultSurvival,All,2007,89.57755,95.3938394916611,4.55603489404294,87.2971984758469,4.95470192631109,86.1252286292445,99.1581104050848, 
ABW,AdultSurvival,All,2008,89.71305,95.3924739906816,4.44331337914265,87.6014727541648,4.84403313004185,86.4240918699581,99.1562138759466, 
ABW,AdultSurvival,All,2009,89.8485,95.3204004189522,3.68201246655198,88.6457080919292,4.07078934414196,87.3854606558581,99.0561116929891, 
ABW,AdultSurvival,All,2010,89.984,95.2929104763269,3.37603903471511,89.17734328499,3.76035610384618,87.8840883405983,99.0179312171207, 
ABW,AdultSurvival,All,2011,90.11955,95.3139308287179,3.45860098421656,89.2575755490981,3.85011871758071,87.9825896157526,99.0471261509971, 
ABW,AdultSurvival,All,2012,90.255,95.3008984024241,3.27346955937612,89.6496232550441,3.66393119863292,88.3569021347004,99.0290255589224, 
ABW,AdultSurvival,All,2013,90.3892,95.3251471994041,3.37578208664438,89.703871593418,3.77416991710638,88.4330523051159,99.0627044436167, 
ABW,AdultSurvival,All,2014,90.52335,95.3231544856986,3.27389279584855,89.9964490443163,3.67394205744884,88.7195996092178,99.0599367856925, 
ABW,AdultSurvival,All,2015,90.65755,95.3561554827846,3.44212545666302,89.9731511217982,3.85172332815439,88.7282072274012,99.1057715038675, 
ABW,AdultSurvival,All,2016,90.79175,95.3661889344062,3.428654913507,90.1615325370088,3.84255954762372,88.9237598968207,99.1197068533419, 
ABW,AdultSurvival,All,2017,90.92595,95.3756895677521,3.40861300591313,90.3571360961978,3.82668066131885,89.1260276720145,99.1329021774335, 
ABW,AdultSurvival,Female,2007,92.0078,96.444352867356,3.68606180150182,90.189854413142,4.0904275032009,89.0709423598128,99.2388395443233, 
ABW,AdultSurvival,Female,2008,92.1145,96.4431011581248,3.59087514302988,90.4339511151992,3.9967882381135,89.3107460084618,99.2371248741435, 
ABW,AdultSurvival,Female,2009,92.2211,96.3770337173728,2.97883520695028,91.2791033905316,3.37363572523554,90.0799259186001,99.1466215306477, 
ABW,AdultSurvival,Female,2010,92.3278,96.3518346032997,2.73074222811599,91.7074988678241,3.1212082948683,90.478517732529,99.112102196301, 
ABW,AdultSurvival,Female,2011,92.4345,96.3711032596581,2.7914519227313,91.7690797227045,3.18816145111394,90.557728959845,99.1384976159699, 
ABW,AdultSurvival,Female,2012,92.5411,96.3591568688887,2.63967250431004,92.0837916236553,3.03514513212376,90.8567726760954,99.1221326971079, 
ABW,AdultSurvival,Female,2013,92.6439,96.381384932787,2.71793347661344,92.1184668820456,3.12023546641946,90.9125042596079,99.1525820997083, 
ABW,AdultSurvival,Female,2014,92.7466,96.3795582785571,2.63426390086131,92.3464207496647,3.03773776575204,91.1356868917822,99.1500798336399, 
ABW,AdultSurvival,Female,2015,92.8494,96.4098091925525,2.76505700298267,92.317916930722,3.17676142599446,91.137485149348,99.1915194418528, 
ABW,AdultSurvival,Female,2016,92.9521,96.4190065232057,2.7517307130951,92.4609811292101,3.16694831408735,91.287983192762,99.2041185249392, 
ABW,AdultSurvival,Female,2017,93.0549,96.4277154371061,2.73317171059574,92.6100261015251,3.15176355487931,91.4439898697782,99.2160485439809, 
ABW,AdultSurvival,Male,2007,87.1473,93.3433261159662,4.70669330498978,86.3580183795864,5.11848169568962,85.091946875739,99.0618944513803, 
ABW,AdultSurvival,Male,2008,87.3116,93.3418468232384,4.57643319735659,86.7271632606231,4.99089726710274,85.4542455900401,99.0597811760548, 
ABW,AdultSurvival,Male,2009,87.4759,93.2637671205315,3.75842192241076,87.8853084706249,4.15901636251378,86.5208407803433,98.9482387436165, 
ABW,AdultSurvival,Male,2010,87.6402,93.2339863493542,3.42580069604762,88.4946611402419,3.82143032479051,87.0931411037809,98.9056947847917, 
ABW,AdultSurvival,Male,2011,87.8046,93.2567583977777,3.50389929888921,88.6237160791463,3.90819614013192,87.2412324312966,98.9382262825396, 
ABW,AdultSurvival,Male,2012,87.9689,93.2426399359594,3.29962449515975,89.0840570905843,3.70292493194201,87.6812179252009,98.9180570513706, 
ABW,AdultSurvival,Male,2013,88.1345,93.2689094660211,3.39509662993478,89.1926176771027,3.80800339142181,87.8127108942925,98.9555849514587, 
ABW,AdultSurvival,Male,2014,88.3001,93.2667506928402,3.27610591139937,89.5535697364962,3.69125661965903,88.1660290946267,98.9525009897717, 
ABW,AdultSurvival,Male,2015,88.4657,93.3025017730166,3.43726619579539,89.5834738218473,3.86404117273607,88.2298159701211,99.0035739614523, 
ABW,AdultSurvival,Male,2016,88.6314,93.3133713456067,3.40819696079399,89.8370149590509,3.84040198050025,88.4901694480712,99.0191019222953, 
ABW,AdultSurvival,Male,2017,88.797,93.3236636983981,3.37147657690083,90.0987708726686,3.80895709154848,88.7581857655944,99.0338052834258, 
ABW,BasicSanitation,All,2007,97.8671181403568,100,3.90186070736341,93.9652574329934,3.90186070736341,93.9652574329934,100, 
ABW,BasicSanitation,All,2008,97.8023907355859,100,4.00968074506426,93.7927099905216,4.00968074506426,93.7927099905216,100, 
ABW,BasicSanitation,All,2009,97.7376633308149,100,3.7864826938327,93.9511806369822,3.7864826938327,93.9511806369822,100, 
ABW,BasicSanitation,All,2010,97.672935926044,100,3.77303725279714,93.8998986732469,3.77303725279714,93.8998986732469,100, 
ABW,BasicSanitation,All,2011,97.6082085212731,100,3.96673693415759,93.6414715871155,3.96673693415759,93.6414715871155,100, 
