"year","resp_count","country_code","metric_code","mean","sd","lobound_10","upbound_90"
2019,3,"PYF","climate",3.6666667,1.1547005,,
2019,3,"PYF","indigsov",3.6666667,2.309401,,
2019,3,"PYF","indigland",2.6666667,1.5275252,,
2019,3,"PYF","culture",4,1.7320508,,
2020,6,"PYF","vchild",3.560287,1.5378094,1.5918911,5.5286832
2020,6,"PYF","vdisab",5.5385957,1.9127264,3.0903058,7.9868855
2020,6,"PYF","vmvpfaff",3.493211,1.7304466,1.2782394,5.7081828
2020,6,"PYF","vwomen",2.1201329,1.3277752,".42058063",3.8196852
2020,6,"PYF","climate",3,1.4142135,,
2020,6,"PYF","indigsov",2.6666667,".51639777",,
2020,6,"PYF","indigland",3,1.0954452,,
2020,6,"PYF","culture",2.3333333,".51639777",,
2019,9,"GUM","vchild",4.4447465,".60074067",3.6757984,5.2136946
2019,9,"GUM","vdisab",6.2327743,".67314899",5.3711433,7.0944052
2019,9,"GUM","vmvpfaff",5.5488296,".75518835",4.5821886,6.5154705
2019,9,"GUM","vwomen",3.3716013,".55670327",2.6590211,4.0841813
2019,9,"GUM","climate",3.4444444,".88191712",,
2019,9,"GUM","indigsov",1.6666666,1.3228756,,
2019,9,"GUM","indigland",1.8888888,1.6914819,,
2019,9,"GUM","culture",2.5555556,1.1303884,,
2020,6,"GUM","vchild",4.14253,".95290077",2.922817,5.3622432
2020,6,"GUM","vdisab",6.6594801,".67931068",5.7899623,7.5289979
2020,6,"GUM","vmvpfaff",6.6416621,".66670173",5.7882838,7.4950404
2020,6,"GUM","vwomen",3.7982922,1.1352433,2.3451807,5.2514038
2020,6,"GUM","climate",4.1666665,1.3291601,,
2020,6,"GUM","indigsov",1.3333334,".51639777",,
2020,6,"GUM","indigland",1.8333334,".40824831",,
2020,6,"GUM","culture",3.1666667,".75277263",,
2020,7,"KIR","vchild",3.5767465,".6756084",2.7119677,4.441525
2020,7,"KIR","vdisab",3.7224929,".86625761",2.6136832,4.8313026
2020,7,"KIR","vmvpfaff",2.9829016,".77174151",1.9950725,3.9707308
2020,7,"KIR","vwomen",2.825819,".43908781",2.2637866,3.3878515
2020,7,"KIR","climate",5.1428571,".37796447",,
2020,7,"KIR","indigsov",4.8571429,1.0690449,,
2020,7,"KIR","indigland",3.8571429,1.8644545,,
2020,7,"KIR","culture",4.8571429,1.2149858,,
2019,4,"MHL","vchild",6.2810183,2.1599092,3.5163345,9.045702
2019,4,"MHL","vdisab",8.8083124,1.5788276,6.7874131,10.829212
2019,4,"MHL","vmvpfaff",6.3448505,2.1355786,3.61131,9.0783911
2019,4,"MHL","vwomen",3.2900357,1.468189,1.4107538,5.1693177
2019,4,"MHL","climate",5,1.4142135,,
2019,4,"MHL","indigsov",3.75,".95742708",,
2019,4,"MHL","indigland",4.25,1.7078252,,
2019,4,"MHL","culture",5.25,".95742708",,
2019,5,"NRU","vchild",4.092165,".84686029",3.0081837,5.176146
2019,5,"NRU","vdisab",3.5668364,".94852674",2.3527222,4.7809505
2019,5,"NRU","vmvpfaff",3.6512616,1.671972,1.5111374,5.7913857
2019,5,"NRU","vwomen",1.9218937,".85974544",".82141954",3.022368
2019,5,"NRU","climate",3.8,1.9235384,,
2019,5,"NRU","indigsov",4.1999998,1.4832397,,
2019,5,"NRU","indigland",4.4000001,1.5165751,,
2019,5,"NRU","culture",3.8,1.4832397,,
2020,4,"NRU","vchild",4.5582433,".83865696",3.4847624,5.6317244
2020,4,"NRU","vdisab",5.8284316,".71530527",4.9128408,6.7440224
2020,4,"NRU","vmvpfaff",5.8347535,".71524155",4.9192443,6.7502627
2020,4,"NRU","vwomen",4.5493479,".84411371",3.4688823,5.6298132
2020,4,"NRU","climate",4.25,".95742708",,
2020,4,"NRU","indigsov",4.25,".95742708",,
2020,4,"NRU","indigland",4.75,".5",,
2020,4,"NRU","culture",5,".81649661",,
2019,9,"NCL","vchild",3.6420677,".51086271",2.9881635,4.2959719
2019,9,"NCL","vdisab",5.3032417,".47763893",4.691864,5.9146194
2019,9,"NCL","vmvpfaff",4.9532461,".7042774",4.0517712,5.8547211
2019,9,"NCL","vwomen",2.516928,".53666252",1.8299999,3.203856
2019,9,"NCL","climate",3.3333333,1.2247449,,
2019,9,"NCL","indigsov",3.3333333,1,,
2019,9,"NCL","indigland",3.6666667,1.2247449,,
2019,9,"NCL","culture",3.1111112,1.3642255,,
2020,17,"NCL","vchild",4.7126169,".44802776",4.1391416,5.2860923
2020,17,"NCL","vdisab",6.8334961,".47185114",6.2295265,7.4374657
2020,17,"NCL","vmvpfaff",5.9738479,".56133586",5.2553382,6.6923575
2020,17,"NCL","vwomen",3.579138,".47104731",2.9761975,4.1820784
2020,17,"NCL","climate",2.6470587,1.5788119,,
2020,17,"NCL","indigsov",4.352941,1.3200936,,
2020,17,"NCL","indigland",4.2941175,1.3585243,,
2020,17,"NCL","culture",4.1176472,1.3639261,,
2019,6,"NIU","vchild",6.5929995,1.6404086,4.4932766,8.6927223
2019,6,"NIU","vdisab",7.8412228,1.5381037,5.8724499,9.8099957
2019,6,"NIU","vmvpfaff",9.7498999,1.3028075,8.0823059,11.417494
2019,6,"NIU","vwomen",6.6408534,1.4008663,4.8477445,8.4339619
2019,6,"NIU","climate",2.5,1.2247449,,
2019,6,"NIU","indigsov",4.1666665,1.7224014,,
2019,6,"NIU","indigland",4.5,1.2247449,,
2019,6,"NIU","culture",4.6666665,1.0327955,,
2020,4,"NIU","vchild",7.1895604,".9814238",5.9333382,8.4457827
2020,4,"NIU","vdisab",8.8124428,1.0813547,7.4283085,10.196577
2020,4,"NIU","vmvpfaff",8.4067144,1.2127197,6.8544331,9.9589958
2020,4,"NIU","vwomen",7.3946443,1.1636822,5.9051309,8.8841572
2020,4,"NIU","climate",3.25,1.5,,
2020,4,"NIU","indigsov",5,".81649661",,
2020,4,"NIU","indigland",4.5,1,,
2020,4,"NIU","culture",4.25,".95742708",,
2019,4,"NMI","vchild",3.3054798,1.1847589,1.7889884,4.8219709
2019,4,"NMI","vdisab",5.7681479,1.10142,4.3583302,7.1779656
2019,4,"NMI","vmvpfaff",5.7451019,1.1291023,4.2998509,7.1903529
2019,4,"NMI","vwomen",2.3118689,1.019599,1.0067823,3.6169555
2019,4,"NMI","climate",4.25,1.7078252,,
2019,4,"NMI","indigsov",2,1.4142135,,
2019,4,"NMI","indigland",4,2.1602468,,
2019,4,"NMI","culture",3.5,1.9148542,,
2020,5,"NMI","vchild",4.5363011,1.0413733,3.2033434,5.8692589
2020,5,"NMI","vdisab",5.6951971,".88372785",4.5640254,6.8263688
2020,5,"NMI","vmvpfaff",5.4753499,1.3890237,3.6973996,7.2533002
2020,5,"NMI","vwomen",2.3312933,".98959357",1.0646136,3.5979731
2020,5,"NMI","climate",3.8,1.7888544,,
2020,5,"NMI","indigsov",3.8,1.0954452,,
2020,5,"NMI","indigland",4.1999998,".83666003",,
2020,5,"NMI","culture",4.4000001,1.3416408,,
2019,3,"WSM","vchild",4.0141072,".82330793",2.960273,5.0679412
