year,country_code,metric_code,mean,sd,lobound_10,upbound_90
2020,MOZ,disap,4.7797766,.59279835,4.0209947,5.5385585
2021,MOZ,disap,4.2504635,.75001532,3.2904439,5.2104831
2019,MYS,disap,7.6320972,.42997432,7.0817299,8.1824646
2020,MYS,disap,8.2805796,.33352003,7.8536739,8.7074852
2021,MYS,disap,8.5138741,.54528576,7.8159084,9.2118397
2018,NCL,disap,9.7095594,.65191507,8.8751078,10.544011
2019,NCL,disap,9.0820742,.3806816,8.5948019,9.5693464
2020,NCL,disap,8.5206337,.28182688,8.1598949,8.8813725
2021,NCL,disap,8.200839,.42893633,7.6518006,8.7498779
2018,NIU,disap,9.2544298,.79327452,8.2390385,10.269821
2019,NIU,disap,9.2546329,.50913543,8.6029396,9.9063263
2020,NIU,disap,8.91681,.46673286,8.3193922,9.5142279
2019,NMI,disap,7.3622184,1.1147376,5.9353542,8.7890825
2020,NMI,disap,7.493464,1.3892652,5.7152047,9.2717237
2017,NPL,disap,8.450511,.65778047,7.608552,9.29247
2018,NPL,disap,8.6438141,.38343561,8.1530161,9.1346121
2019,NPL,disap,8.0465174,.29042333,7.6747756,8.4182596
2020,NPL,disap,7.7441554,.34095132,7.3077378,8.1805735
2018,NRU,disap,8.0616941,.677149,7.1949434,8.9284449
2019,NRU,disap,8.5564661,.46047124,7.967063,9.1458693
2017,NZL,disap,8.3325272,.20571107,8.0692167,8.5958376
2018,NZL,disap,8.5973005,.17296432,8.375906,8.8186951
2019,NZL,disap,9.0256042,.245323,8.7115908,9.3396177
2020,NZL,disap,8.7116833,.23664498,8.4087772,9.0145893
2021,NZL,disap,8.4499245,.35743231,7.9924111,8.9074383
2018,PNG,disap,6.2742405,1.0477698,4.933095,7.615386
2019,PNG,disap,6.3780794,.59151316,5.6209426,7.1352162
2020,PNG,disap,7.095149,.58399814,6.3476315,7.8426666
2021,PNG,disap,7.3240409,1.0544786,5.974308,8.6737738
2019,PYF,disap,9.7445831,.8199591,8.6950359,10.79413
2020,PYF,disap,8.9790401,.53898776,8.2891359,9.6689444
2021,PYF,disap,8.454958,.61916137,7.6624312,9.2474842
2017,SAU,disap,3.3508937,1.0317404,2.030266,4.6715217
2018,SAU,disap,3.5895419,.87005448,2.4758723,4.7032118
2019,SAU,disap,3.5844541,.80291295,2.5567255,4.6121826
2020,SAU,disap,3.6835742,.50769973,3.0337186,4.3334298
2021,SAU,disap,3.9064705,.70182216,3.0081382,4.8048029
2018,SLB,disap,8.5510321,1.5635251,6.5497198,10.552344
2019,SLB,disap,8.6421423,1.2277693,7.0705976,10.213687
2020,SLB,disap,9.0383072,.77744073,8.0431833,10.033431
2018,TON,disap,7.1741614,1.0859466,5.7841496,8.5641727
2019,TON,disap,7.4321413,1.026077,6.1187625,8.7455196
2020,TON,disap,8.3394308,.32418069,7.9244795,8.7543821
2021,TON,disap,8.2556372,.2877678,7.8872943,8.6239796
2020,TUV,disap,8.7435656,.86658239,7.6343403,9.8527908
2021,TUV,disap,8.497385,1.0191758,7.1928401,9.8019304
2019,TWN,disap,9.1753311,.25489497,8.8490658,9.5015965
2020,TWN,disap,8.7476645,.15306905,8.5517359,8.943593
2021,TWN,disap,8.4529858,.18952425,8.2103949,8.6955767
2017,USA,disap,6.7652626,.28889245,6.3954802,7.1350451
2018,USA,disap,6.8016582,.27378431,6.4512143,7.152102
2019,USA,disap,7.2971745,.38941047,6.7987289,7.79562
2020,USA,disap,6.5280752,.33406237,6.1004753,6.9556751
2021,USA,disap,6.7909579,.38001862,6.304534,7.2773819
2017,VEN,disap,4.1467586,.66133136,3.3002543,4.9932628
2018,VEN,disap,4.1168976,.49457055,3.4838474,4.749948
2019,VEN,disap,3.531662,.38961157,3.0329592,4.030365
2020,VEN,disap,3.7966552,.37969705,3.310643,4.2826676
2021,VEN,disap,3.4368992,.65027237,2.6045506,4.269248
2017,VNM,disap,6.2236133,.38549128,5.7301846,6.717042
2018,VNM,disap,5.6586018,.33460614,5.2303057,6.0868979
2019,VNM,disap,4.3639607,.31276768,3.963618,4.7643032
2020,VNM,disap,6.4024649,.30701926,6.00948,6.7954497
2021,VNM,disap,6.8582463,.33315608,6.4318066,7.2846861
2019,VUT,disap,8.7538767,.91496384,7.5827231,9.9250307
2020,VUT,disap,7.7913127,.60752285,7.0136833,8.5689421
2018,WSM,disap,7.1932988,.93777728,5.9929438,8.3936539
2019,WSM,disap,8.5822687,.4127197,8.0539875,9.1105499
2020,WSM,disap,8.8538055,.29683098,8.4738617,9.2337494
2021,WSM,disap,8.5772409,.33382004,8.149951,9.0045309
2017,AGO,dpex,10,0,10,10
2018,AGO,dpex,10,0,10,10
2019,AGO,dpex,10,0,10,10
2020,AGO,dpex,10,0,10,10
2021,AGO,dpex,10,0,10,10
2019,ASM,dpex,10,0,10,10
2020,ASM,dpex,10,0,10,10
2017,AUS,dpex,10,0,10,10
2018,AUS,dpex,10,0,10,10
2019,AUS,dpex,10,0,10,10
2020,AUS,dpex,10,0,10,10
2021,AUS,dpex,10,0,10,10
2017,BRA,dpex,10,0,10,10
2018,BRA,dpex,10,0,10,10
2019,BRA,dpex,10,0,10,10
2020,BRA,dpex,10,0,10,10
2021,BRA,dpex,10,0,10,10
2020,CHN,dpex,.99999976,.50991052,.3473143,1.6526853
2021,CHN,dpex,1.0048507,.51313102,.34804302,1.6616584
2017,COD,dpex,10,0,10,10
2018,COD,dpex,10,0,10,10
2019,COD,dpex,10,0,10,10
2020,COD,dpex,10,0,10,10
