year,resp_count,country_code,metric_code,mean,sd,lobound_10,upbound_90
2019,9,GUM,culture,2.5555556,1.1303884,,
2019,9,GUM,indigland,1.8888888,1.6914819,,
2019,9,GUM,indigsov,1.6666666,1.3228756,,
2019,9,GUM,vchild,4.5777278,0.64101315,3.757231,5.3982248
2019,9,GUM,vdisab,6.4446707,0.69781357,5.5514693,7.337872
2019,9,GUM,vmvpfaff,5.739285,0.79330063,4.7238603,6.7547097
2019,9,GUM,vwomen,3.4802873,0.57367784,2.7459798,4.2145948
2020,6,GUM,climate,4.1666665,1.3291601,,
2020,6,GUM,culture,3.1666667,0.75277263,,
2020,6,GUM,indigland,1.8333334,0.40824831,,
2020,6,GUM,indigsov,1.3333334,0.51639777,,
2020,6,GUM,vchild,4.2609754,0.96776235,3.0222394,5.499711
2020,6,GUM,vdisab,6.8412733,0.71556574,5.9253492,7.7571974
2020,6,GUM,vmvpfaff,6.8716345,0.72721076,5.9408045,7.8024645
2020,6,GUM,vwomen,3.9452262,1.1453594,2.4791663,5.4112864
2020,7,KIR,climate,5.1428571,0.37796447,,
2020,7,KIR,culture,4.8571429,1.2149858,,
2020,7,KIR,indigland,3.8571429,1.8644545,,
2020,7,KIR,indigsov,4.8571429,1.0690449,,
2020,7,KIR,vchild,3.7145698,0.74285901,2.7637103,4.6654291
2020,7,KIR,vdisab,3.9094806,0.90126669,2.7558591,5.0631018
2020,7,KIR,vmvpfaff,3.0690527,0.80929458,2.0331557,4.10495
2020,7,KIR,vwomen,2.9281259,0.51139128,2.273545,3.5827067
2021,5,KIR,climate,4.8000002,1.0954452,,
2021,5,KIR,culture,4.4000001,1.3416408,,
2021,5,KIR,indigland,4,1.2247449,,
2021,5,KIR,indigsov,4.4000001,1.3416408,,
2021,5,KIR,vchild,3.4190755,0.87174779,2.3032384,4.5349126
2021,5,KIR,vdisab,3.9474125,1.2482812,2.3496125,5.5452123
2021,5,KIR,vmvpfaff,3.6691473,1.3659635,1.920714,5.4175806
2021,5,KIR,vwomen,2.7849834,0.92815161,1.5969493,3.9730175
2019,4,MHL,climate,5,1.4142135,,
2019,4,MHL,culture,5.25,0.95742708,,
2019,4,MHL,indigland,4.25,1.7078252,,
2019,4,MHL,indigsov,3.75,0.95742708,,
2019,4,MHL,vchild,6.0930843,2.0978401,3.4078491,8.7783194
2019,4,MHL,vdisab,8.5919132,1.620923,6.5171318,10.666695
2019,4,MHL,vmvpfaff,6.2186432,1.9982804,3.6608443,8.7764425
2019,4,MHL,vwomen,3.310401,1.4586269,1.4433585,5.1774435
2019,9,NCL,climate,3.3333333,1.2247449,,
2019,9,NCL,culture,3.1111112,1.3642255,,
2019,9,NCL,indigland,3.6666667,1.2247449,,
2019,9,NCL,indigsov,3.3333333,1,,
2019,9,NCL,vchild,3.7209792,0.56749713,2.9945829,4.4473758
2019,9,NCL,vdisab,5.4440274,0.49358019,4.8122449,6.07581
2019,9,NCL,vmvpfaff,5.0543742,0.75722313,4.0851288,6.0236197
2019,9,NCL,vwomen,2.5035481,0.58005857,1.7610731,3.2460232
2020,17,NCL,climate,2.6470587,1.5788119,,
2020,17,NCL,culture,4.1176472,1.3639261,,
2020,17,NCL,indigland,4.2941175,1.3585243,,
2020,17,NCL,indigsov,4.352941,1.3200936,,
2020,17,NCL,vchild,4.8232303,0.47201467,4.2190514,5.4274092
2020,17,NCL,vdisab,6.9992847,0.4989703,6.3606029,7.6379666
2020,17,NCL,vmvpfaff,6.0838461,0.60897827,5.3043537,6.8633385
2020,17,NCL,vwomen,3.6600442,0.49340639,3.0284841,4.2916045
2021,13,NCL,climate,3,1.6329932,,
2021,13,NCL,culture,4.3846154,1.2608503,,
2021,13,NCL,indigland,4.6153846,1.1929278,,
2021,13,NCL,indigsov,4.2307692,1.5892266,,
2021,13,NCL,vchild,4.8526092,0.40312716,4.3366065,5.3686118
2021,13,NCL,vdisab,6.6062655,0.49785459,5.9690118,7.2435193
2021,13,NCL,vmvpfaff,5.6577802,0.66569746,4.8056874,6.5098729
2021,13,NCL,vwomen,4.0957198,0.51279044,3.439348,4.7520914
2019,6,NIU,climate,2.5,1.2247449,,
2019,6,NIU,culture,4.6666665,1.0327955,,
2019,6,NIU,indigland,4.5,1.2247449,,
2019,6,NIU,indigsov,4.1666665,1.7224014,,
