country_code,metric_code,group,year,value,immediate_duty,immediate_duty_penalty,score_wrt_immediate_duty,global_best_penalty,score_wrt_global_best,immediate_duty_wrt_global_best,source_code
ABW,NetPrimEnrol,All,2009,95.89151001,100,12.17067594,83.72083407,12.17067594,83.72083407,100, 
ABW,NetPrimEnrol,All,2010,98.9197464,100,3.329368713,95.59037769,3.329368713,95.59037769,100, 
ABW,NetPrimEnrol,All,2014,99.23471069,100,2.442365372,96.79234532,2.442365372,96.79234532,100, 
ABW,NetPrimEnrol,Female,2005,96.56223297,100,10.97159804,85.59063493,10.97159804,85.59063493,100, 
ABW,NetPrimEnrol,Female,2009,97.70514679,100,7.069849182,90.63529761,7.069849182,90.63529761,100, 
ABW,NetPrimEnrol,Male,2005,99.0449295,100,3.223474297,95.82145521,3.223474297,95.82145521,100, 
ABW,NetPrimEnrol,Male,2009,94.12297058,100,16.74930945,77.37366113,16.74930945,77.37366113,100, 
ABW,NetSecEnrol,All,2007,80.52761841,100,5.233284093,75.29433432,5.233284093,75.29433432,100, 
ABW,NetSecEnrol,All,2008,74.48249054,100,6.476862413,68.00562813,6.476862413,68.00562813,100, 
ABW,NetSecEnrol,All,2009,77.72431946,100,4.515265767,73.20905369,4.515265767,73.20905369,100, 
ABW,NetSecEnrol,All,2011,76.94634247,100,4.531315124,72.41502734,4.531315124,72.41502734,100, 
ABW,NetSecEnrol,Female,2007,81.79688263,100,4.943759246,76.85312338,4.943759246,76.85312338,100, 
ABW,NetSecEnrol,Female,2008,77.85939026,100,5.790453183,72.06893708,5.790453183,72.06893708,100, 
ABW,NetSecEnrol,Female,2009,80.97251892,100,3.958756751,77.01376217,3.958756751,77.01376217,100, 
ABW,NetSecEnrol,Female,2011,80.68242645,100,3.91294397,76.76948248,3.91294397,76.76948248,100, 
ABW,NetSecEnrol,Male,2007,79.25071716,100,5.516877216,73.73383995,5.516877216,73.73383995,100, 
ABW,NetSecEnrol,Male,2008,71.1553421,100,7.097902734,64.05743937,7.097902734,64.05743937,100, 
ABW,NetSecEnrol,Male,2009,74.57756805,100,5.018563102,69.55900495,5.018563102,69.55900495,100, 
ABW,NetSecEnrol,Male,2011,73.36425018,100,5.07848271,68.28576747,5.07848271,68.28576747,100, 
ABW,WaterInHome,All,2007,94.56697,100,5.14513167,89.42183833,5.14513167,89.42183833,100, 
ABW,WaterInHome,All,2008,94.81969,100,4.908160234,89.91152977,4.908160234,89.91152977,100, 
ABW,WaterInHome,All,2009,95.07228,100,4.182404357,90.88987564,4.182404357,90.88987564,100, 
ABW,WaterInHome,All,2010,95.32473,100,3.815693144,91.50903686,3.815693144,91.50903686,100, 
ABW,WaterInHome,All,2011,95.57704,100,3.735462345,91.84157765,3.735462345,91.84157765,100, 
ABW,WaterInHome,All,2012,95.82921,100,3.461901949,92.36730805,3.461901949,92.36730805,100, 
ABW,WaterInHome,All,2013,95.82921,100,3.592368823,92.23684118,3.592368823,92.23684118,100, 
ABW,WaterInHome,All,2014,95.82921,100,3.581532473,92.24767753,3.581532473,92.24767753,100, 
ABW,WaterInHome,All,2015,95.82921,100,3.769871839,92.05933816,3.769871839,92.05933816,100, 
ABW,WaterInHome,All,2016,95.82921,100,3.830085511,91.99912449,3.830085511,91.99912449,100, 
AFG,AdultSurvival,All,2007,73.53585052,79.57093645,0,89.13985204,0,68.7997924,77.18185618, 
AFG,AdultSurvival,All,2008,74.01940155,79.828741,0,89.59435706,0,69.47139104,77.53991805, 
AFG,AdultSurvival,All,2009,74.50295258,82.35514259,0,86.54413362,0,70.14298969,81.04880915, 
AFG,AdultSurvival,All,2010,74.98649597,83.73651318,0,85.35231345,0,70.81457774,82.96737941, 
